image_num,golden_label,predicted_label,energy,output0,output1,output2,output3,output4,output5,output6,output7,output8,output9
0,7,7,1.9380393624349516e-10,0.35734,0.14722,0.29456,0.29897,0.11406,0.089126,0.036775,0.75706,0.43884,0.30931
1,2,2,1.9233081800167635e-10,0.39548,0.31923,0.6387,0.42401,0.12288,0.040096,0.36269,0.15068,0.35306,0.1549
2,1,1,2.0405696616786181e-10,0.16563,0.76495,0.15469,0.18339,0.29643,0.18761,0.47134,0.1426,0.27183,0.23052
3,0,0,1.9574888958448918e-10,0.73814,0.21767,0.23272,0.17016,0.20422,0.18094,0.42256,0.24641,0.26056,0.26806
4,4,4,1.9799617107532765e-10,0.19246,0.14407,0.31339,0.17719,0.74351,0.061513,0.27771,0.25279,0.20559,0.34571
5,1,1,2.0677607031724949e-10,0.19961,0.75587,0.18142,0.21901,0.33401,0.11421,0.4062,0.12252,0.31843,0.24481
6,4,4,1.9314737951909677e-10,0.078368,0.22488,0.24278,0.062553,0.61566,0.17805,0.21042,0.12495,0.45315,0.30495
7,9,9,2.047906362076508e-10,0.35356,0.13597,0.37932,0.24515,0.3596,0.092375,0.14997,0.16822,0.30828,0.7174
8,5,5,1.9824803016701495e-10,0.27339,0.047738,0.11418,0.21525,0.32176,0.60834,0.49721,0.081452,0.48085,0.24699
9,9,9,1.809280888546366e-10,0.4074,0.10411,0.20652,0.19453,0.31827,0.17919,0.08158,0.21968,0.45339,0.64128
10,0,0,1.998887057210832e-10,0.73575,0.24254,0.30086,0.14233,0.1561,0.18798,0.42436,0.16441,0.26264,0.3116
11,6,6,1.8664525533127167e-10,0.35191,0.23431,0.2781,0.08465,0.34652,0.32662,0.74312,0.078247,0.36585,0.18035
12,9,9,1.947076124841839e-10,0.29351,0.14329,0.20106,0.26983,0.33959,0.12275,0.11869,0.23034,0.37507,0.6698
13,0,0,1.9688815659436132e-10,0.71237,0.23303,0.17876,0.1862,0.15997,0.25797,0.45676,0.14107,0.34922,0.22234
